round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_target,p2_code,p2_role,p2_strategy,p2_target,p3_code,p3_role,p3_strategy,p3_target,p4_code,p4_role,p4_strategy,p4_target,p5_code,p5_role,p5_strategy,p5_target,p6_code,p6_role,p6_strategy,p6_target,p7_code,p7_role,p7_strategy,p7_target,p8_code,p8_role,p8_strategy,p8_target,p9_code,p9_role,p9_strategy,p9_target,p10_code,p10_role,p10_strategy,p10_target
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,18,ep54a3q9,p1,0,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,1,19,ep54a3q9,p1,0,nan,2sbngcwz,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,0,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,1,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,2,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,3,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,4,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,5,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,6,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,7,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,8,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,9,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,10,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,11,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,12,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,13,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,14,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,15,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,16,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,17,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,18,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,3,19,hz3dh3kb,p1,1,nan,dkk4u1v7,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,0,b649r54o,p1,0,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,1,b649r54o,p1,0,nan,9yx9inxt,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,2,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,3,b649r54o,p1,0,nan,9yx9inxt,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,4,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,5,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,6,b649r54o,p1,1,nan,9yx9inxt,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,7,b649r54o,p1,0,nan,9yx9inxt,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,8,b649r54o,p1,0,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,9,b649r54o,p1,0,nan,9yx9inxt,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,10,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,11,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,12,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,13,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,14,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,15,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,16,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,17,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,18,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,4,19,b649r54o,p1,1,nan,9yx9inxt,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,5,0,8f2dzq22,p1,1,nan,sekz5qcb,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,5,1,8f2dzq22,p1,1,nan,sekz5qcb,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,5,2,8f2dzq22,p1,1,nan,sekz5qcb,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,5,3,8f2dzq22,p1,1,nan,sekz5qcb,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,80,20,1,FALSE,FALSE,2,BM1,2,TRUE,pn1grluj,351,5,4,8f2dzq22,p1,1,nan,sekz5qcb,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
