round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_regret0,p1_regret1,p1_regret2,p1_target,p2_code,p2_role,p2_strategy,p2_regret0,p2_regret1,p2_regret2,p2_target,p3_code,p3_role,p3_strategy,p3_regret0,p3_regret1,p3_regret2,p3_target,p4_code,p4_role,p4_strategy,p4_regret0,p4_regret1,p4_regret2,p4_target,p5_code,p5_role,p5_strategy,p5_regret0,p5_regret1,p5_regret2,p5_target,p6_code,p6_role,p6_strategy,p6_regret0,p6_regret1,p6_regret2,p6_target,p7_code,p7_role,p7_strategy,p7_regret0,p7_regret1,p7_regret2,p7_target,p8_code,p8_role,p8_strategy,p8_regret0,p8_regret1,p8_regret2,p8_target,p9_code,p9_role,p9_strategy,p9_regret0,p9_regret1,p9_regret2,p9_target,p10_code,p10_role,p10_strategy,p10_regret0,p10_regret1,p10_regret2,p10_target
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,1,y7hcxlmj,p1,1,0,500,0,nan,9hbhtv2x,p2,1,0,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,2,y7hcxlmj,p1,1,0,500,0,nan,9hbhtv2x,p2,1,0,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,3,y7hcxlmj,p1,1,0,500,0,nan,9hbhtv2x,p2,1,0,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,4,y7hcxlmj,p1,1,0,500,0,nan,9hbhtv2x,p2,1,0,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,5,y7hcxlmj,p1,1,0,500,0,nan,9hbhtv2x,p2,0,0,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,6,y7hcxlmj,p1,1,0,450,0,nan,9hbhtv2x,p2,0,600,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,7,y7hcxlmj,p1,1,0,414,0,nan,9hbhtv2x,p2,0,600,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,8,y7hcxlmj,p1,0,0,388,0,nan,9hbhtv2x,p2,0,600,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,9,y7hcxlmj,p1,1,100,388,0,nan,9hbhtv2x,p2,0,475,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,10,y7hcxlmj,p1,1,100,367,0,nan,9hbhtv2x,p2,0,500,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,11,y7hcxlmj,p1,0,100,350,0,nan,9hbhtv2x,p2,0,517,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,12,y7hcxlmj,p1,0,100,350,0,nan,9hbhtv2x,p2,0,457,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,13,y7hcxlmj,p1,0,100,350,0,nan,9hbhtv2x,p2,0,413,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,14,y7hcxlmj,p1,0,100,350,0,nan,9hbhtv2x,p2,0,378,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,15,y7hcxlmj,p1,1,100,350,0,nan,9hbhtv2x,p2,0,350,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,16,y7hcxlmj,p1,1,100,336,0,nan,9hbhtv2x,p2,0,373,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,17,y7hcxlmj,p1,1,100,325,0,nan,9hbhtv2x,p2,0,392,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,18,y7hcxlmj,p1,1,100,315,0,nan,9hbhtv2x,p2,0,408,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,19,y7hcxlmj,p1,1,100,307,0,nan,9hbhtv2x,p2,0,421,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,20,y7hcxlmj,p1,1,100,300,0,nan,9hbhtv2x,p2,0,433,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,21,y7hcxlmj,p1,1,100,294,0,nan,9hbhtv2x,p2,0,444,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,22,y7hcxlmj,p1,1,100,288,0,nan,9hbhtv2x,p2,0,453,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,23,y7hcxlmj,p1,1,100,283,0,nan,9hbhtv2x,p2,0,461,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,24,y7hcxlmj,p1,1,100,279,0,nan,9hbhtv2x,p2,0,468,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,25,y7hcxlmj,p1,1,100,275,0,nan,9hbhtv2x,p2,0,475,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,26,y7hcxlmj,p1,1,100,271,0,nan,9hbhtv2x,p2,0,481,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,27,y7hcxlmj,p1,1,100,268,0,nan,9hbhtv2x,p2,0,486,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,28,y7hcxlmj,p1,1,100,265,0,nan,9hbhtv2x,p2,0,491,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,29,y7hcxlmj,p1,1,100,263,0,nan,9hbhtv2x,p2,0,496,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,30,y7hcxlmj,p1,1,100,260,0,nan,9hbhtv2x,p2,0,500,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TRUE,200,50,1,FALSE,FALSE,2,BM1,2,FALSE,gcsgh2se,56,3,31,y7hcxlmj,p1,1,100,258,0,nan,9hbhtv2x,p2,0,504,500,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
